document_type,filename,characters,words,detections,average_confidence
Invoice,X00016469612.jpg,389,74,37,0.7157937160712675
Invoice,X00016469620.jpg,708,136,78,0.7615881502872432
Invoice,X00016469622.jpg,472,78,53,0.7436427724084237
Resume,Image_1.jpg,149,18,13,0.8203476538608195
Resume,Image_1.png,157,23,16,0.6840036606451291
Resume,Image_10.jpg,42,8,7,0.6354787686147854
ID Card,0005_jpeg_jpg.rf.252590ac8ae7f0f84a08f15a164d6cb0.jpg,127,16,8,0.6797659744577527
ID Card,0521_adhar_jpg.rf.0188ba6593c38a70e56de2509a244a4d.jpg,31,7,3,0.615792712955546
ID Card,0521_adhar_jpg.rf.0b52a68eba1d0f3ea5d868a66390409a.jpg,36,9,5,0.814041953401448
